Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_placeOrder,Chrome 130.0.0.0,,,05-11-2024 10:21:21,05-11-2024 10:21:26,4.975s,FAILED
,,,,,,,
Test Cases/UserAuth/TC_doSignup_success,Chrome 130.0.0.0,,,05-11-2024 10:21:23,05-11-2024 10:21:26,2.337s,FAILED
Start listener action : sampleBeforeTestSuite,Chrome 130.0.0.0,,,05-11-2024 10:21:23,05-11-2024 10:21:24,0.013s,PASSED
"runFeatureFile(""Include/features/auth/SuccessfulSignup.feature"")",Chrome 130.0.0.0,,,05-11-2024 10:21:24,05-11-2024 10:21:26,2.234s,FAILED
