Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_placeOrder,Chrome 130.0.0.0,,,05-11-2024 10:09:13,05-11-2024 10:09:40,27.174s,FAILED
,,,,,,,
Test Cases/UserAuth/TC_doSignup_success,Chrome 130.0.0.0,,,05-11-2024 10:09:32,05-11-2024 10:09:40,7.619s,FAILED
Start listener action : sampleBeforeTestSuite,Chrome 130.0.0.0,,,05-11-2024 10:09:32,05-11-2024 10:09:32,0.001s,PASSED
"runFeatureFile(""Include/features/auth/SuccessfulSignup.feature"")",Chrome 130.0.0.0,,,05-11-2024 10:09:32,05-11-2024 10:09:40,7.602s,FAILED
