Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_placeOrder,Chrome 130.0.0.0,,,05-11-2024 12:27:48,05-11-2024 12:28:12,23.760s,FAILED
,,,,,,,
Test Cases/UserAuth/TC_doSignup_success,Chrome 130.0.0.0,,,05-11-2024 12:27:50,05-11-2024 12:27:58,7.742s,FAILED
"runFeatureFile(""Include/features/auth/SuccessfulSignup.feature"")",Chrome 130.0.0.0,,,05-11-2024 12:27:50,05-11-2024 12:27:58,7.677s,FAILED
,,,,,,,
Test Cases/UserAuth/TC_doLogin_success,Chrome 130.0.0.0,,,05-11-2024 12:27:58,05-11-2024 12:28:12,14.233s,FAILED
"runFeatureFile(""Include/features/auth/SuccessfulLogin.feature"")",Chrome 130.0.0.0,,,05-11-2024 12:27:58,05-11-2024 12:28:12,14.187s,FAILED
